ano;codigo;uf;vinculos_executivo_federal;vinculos_executivo_estadual;vinculos_executivo_municipal;vinculos_legislativo_federal;vinculos_legislativo_estadual;vinculos_legislativo_municipal;vinculos_judiciario_federal;vinculos_judiciario_estadual
1985;11;RO;3960;34384;4156;0;49;94;100;1024
1985;53;DF;182279;67049;0;13782;465;0;6236;0
1985;52;GO;14723;78222;46738;36;409;531;136;1899
1985;51;MT;8023;23196;11569;16;889;80;77;803
1985;50;MS;9478;34428;20005;7;1643;161;105;1755
1985;43;RS;38734;176987;140436;27;0;876;1589;0
1985;42;SC;17446;65079;54915;20;1545;236;666;1957
1985;41;PR;18254;103364;119030;21;1129;715;670;3343
1985;35;SP;65637;534474;355117;28;1026;3743;3188;17961
1985;33;RJ;210478;215123;155080;78;2982;4884;3911;7035
1985;32;ES;9978;42030;36607;23;106;61;84;751
1985;31;MG;53310;202375;158988;47;1335;609;1875;648
1985;29;BA;35588;141109;86606;26;1568;464;1076;4024
1985;28;SE;5477;29801;17018;16;293;254;66;837
1985;27;AL;7152;42200;26575;15;815;241;65;816
1985;26;PE;36125;94120;70425;26;785;375;1290;1347
1985;25;PB;18211;48935;56270;22;19;97;138;0
1985;24;RN;17869;46546;25390;17;0;228;97;0
1985;23;CE;23624;125989;83791;27;788;349;710;1579
1985;22;PI;9260;39192;14992;19;375;111;148;737
1985;21;MA;11405;50497;19666;28;914;251;92;914
1985;16;AP;550;8013;2436;0;0;85;0;0
1985;15;PA;26771;57878;22672;24;1108;377;659;825
1985;14;RR;8873;0;1282;0;0;33;0;16
1985;13;AM;13162;32002;9228;25;765;55;606;637
1985;12;AC;2869;16154;2068;0;319;79;33;262
1986;28;SE;5756;13733;19390;16;382;341;73;864
1986;53;DF;200696;70408;0;11772;463;0;6605;0
1986;52;GO;15542;89349;49329;36;823;502;156;1964
1986;51;MT;8329;23663;8776;16;1152;87;80;2064
1986;50;MS;10236;35017;23180;10;1994;187;114;2276
1986;43;RS;40417;176812;150194;28;0;1037;1832;0
1986;42;SC;18559;68462;62132;18;1739;244;833;2063
1986;41;PR;21624;111103;134754;24;1206;745;811;3370
1986;35;SP;68900;564252;377176;29;1167;3787;2942;2316
1986;33;RJ;213699;216998;158265;81;3173;5269;3694;5967
1986;32;ES;10239;42245;42106;20;106;60;96;971
1986;31;MG;55307;221413;177199;43;1437;732;2210;650
1986;29;BA;37404;153802;96033;27;1160;539;1149;4193
1986;27;AL;7492;43786;30819;16;919;255;68;946
1986;26;PE;37666;109964;75465;25;871;459;1169;1552
1986;25;PB;19037;69729;64742;22;0;188;595;0
1986;24;RN;12106;47445;31669;22;0;271;99;0
1986;23;CE;24753;89984;99262;33;818;377;734;1606
1986;22;PI;9735;52491;23103;21;552;133;156;802
1986;21;MA;12376;49611;29781;28;1001;298;105;910
1986;16;AP;521;6706;3683;0;0;83;0;0
1986;15;PA;27168;61723;28412;20;1470;593;695;1012
1986;14;RR;8776;0;1589;0;0;26;0;17
1986;13;AM;13946;47193;10142;21;849;658;596;655
1986;12;AC;3051;20611;2593;0;520;120;33;328
1986;11;RO;2651;2127;2100;0;0;7;0;0
1987;29;BA;36232;135758;105832;28;1130;575;1539;4553
1987;53;DF;195556;73727;0;13428;494;0;6683;0
1987;52;GO;15946;91632;52941;36;1507;534;169;2127
1987;51;MT;8244;22999;15277;14;1080;101;86;2362
1987;50;MS;10866;29159;24171;12;2187;375;123;2126
1987;43;RS;39644;180041;160347;33;0;1111;2210;0
1987;42;SC;17489;68125;68816;22;1822;283;927;2152
1987;41;PR;20964;115659;146458;33;1154;892;956;3760
1987;35;SP;69900;610786;420318;40;1237;4365;4020;36711
1987;33;RJ;218465;220707;185778;82;3534;5812;4338;6553
1987;32;ES;10451;43587;44687;22;102;63;105;1001
1987;31;MG;54744;223311;199973;39;1717;838;2492;684
1987;28;SE;5691;24625;21516;17;424;345;96;903
1987;27;AL;5351;55701;33919;21;1782;377;74;896
1987;26;PE;37460;107083;79935;30;831;465;1354;1557
1987;25;PB;18090;79250;69326;27;0;244;907;0
1987;24;RN;18854;59521;32268;30;0;404;118;0
1987;23;CE;24991;96091;106866;41;936;404;824;1761
1987;22;PI;10141;53734;25277;24;804;162;164;876
1987;21;MA;12496;54280;32830;30;544;324;71;957
1987;16;AP;639;8754;1802;0;0;74;0;0
1987;15;PA;27956;63746;30882;23;1358;714;746;1018
1987;14;RR;7773;0;1730;0;0;44;0;0
1987;13;AM;14242;43393;10726;27;522;969;600;729
1987;12;AC;3235;21243;2959;0;812;121;9;423
1987;11;RO;4129;34544;8437;0;127;475;472;188
1988;13;AM;14543;49699;10514;18;1282;1343;662;774
1988;53;DF;194262;73100;0;14174;458;0;7091;0
1988;52;GO;15167;111332;60053;36;1658;515;193;2257
1988;51;MT;8660;20256;16050;14;1315;96;79;2597
1988;50;MS;9379;32756;24235;11;2079;508;112;2247
1988;43;RS;38380;176247;159941;34;0;1164;2044;0
1988;42;SC;17288;51009;70320;26;1637;406;1038;2431
1988;41;PR;18135;116681;150158;27;1170;966;1089;4000
1988;35;SP;67004;640534;448605;41;4604;4489;4322;33200
1988;33;RJ;210802;233117;204889;84;3991;5830;5940;6876
1988;32;ES;9749;38894;47544;29;102;85;104;1135
1988;31;MG;54107;232990;210395;45;1705;1157;2457;694
1988;12;AC;2693;20736;4162;0;969;126;33;620
1988;29;BA;34729;127873;102602;27;1207;673;1576;5015
1988;11;RO;3556;42618;10978;0;157;503;644;1631
1988;28;SE;5264;40620;24401;15;487;333;96;986
1988;27;AL;7108;58696;33068;20;1912;407;86;1138
1988;26;PE;35785;99571;86391;30;825;615;1279;1652
1988;25;PB;17446;65156;75354;27;0;335;979;0
1988;24;RN;18758;61048;33965;33;0;555;116;0
1988;23;CE;23874;91889;115831;35;984;476;850;1931
1988;22;PI;9927;54789;27021;25;1044;173;164;1437
1988;21;MA;11916;53925;36615;31;1247;503;139;970
1988;16;AP;586;13388;1981;0;0;205;0;0
1988;15;PA;26302;65367;33496;19;1639;800;745;1142
1988;14;RR;7009;0;1290;0;0;57;0;0
1989;11;RO;4242;44024;11668;0;139;561;610;1693
1989;53;DF;206100;77670;0;14806;509;0;6646;0
1989;52;GO;15713;88136;51038;35;1684;512;196;2119
1989;51;MT;8363;18875;12449;14;0;110;64;2502
1989;50;MS;9510;38363;24294;14;2078;567;154;2625
1989;43;RS;38170;176768;168017;34;0;1217;2701;0
1989;42;SC;16398;51378;75007;28;1648;275;1147;2549
1989;41;PR;18389;121615;161276;34;1145;1029;1069;4064
1989;35;SP;67803;646850;467028;39;5015;5233;5162;32893
1989;33;RJ;215047;228745;190606;92;4041;5680;4587;6971
1989;32;ES;10162;43621;45351;27;253;156;130;1216
1989;31;MG;52014;229633;221098;47;696;1406;2726;1128
1989;29;BA;34334;148782;114536;30;1596;702;1766;5444
1989;28;SE;5309;42874;23058;19;522;333;95;1222
1989;27;AL;7119;53379;37000;23;1439;473;132;1135
1989;26;PE;29109;99539;84881;30;865;710;1907;1978
1989;25;PB;17329;66941;81032;28;0;350;968;0
1989;24;RN;18431;7096;40534;31;0;610;170;0
1989;23;CE;23521;81208;120435;34;889;476;909;1755
1989;22;PI;9076;57780;28874;25;1253;221;158;1616
1989;21;MA;12515;64977;31331;29;1205;640;326;1014
1989;17;TO;1;8629;5671;0;0;23;0;106
1989;16;AP;653;14374;3013;0;0;197;0;0
1989;15;PA;23956;60423;35727;25;1859;970;865;1212
1989;14;RR;10051;354;1274;0;0;57;0;13
1989;13;AM;14098;52227;11469;24;1252;550;703;811
1989;12;AC;1981;20680;4535;0;1042;147;34;486
1990;11;RO;4030;39422;11005;0;141;548;607;1238
1990;53;DF;227507;64059;0;14202;499;0;8515;0
1990;52;GO;16730;75746;51737;34;1552;455;217;0
1990;51;MT;10138;40827;15856;17;1131;112;135;2407
1990;50;MS;10011;30477;23471;12;1943;499;162;2506
1990;43;RS;34503;190375;159887;33;0;1330;2100;0
1990;42;SC;17370;51671;74744;23;1627;553;1198;2568
1990;41;PR;19519;124870;151492;27;0;846;1298;4192
1990;35;SP;68557;600569;468929;46;4828;4452;5730;36965
1990;33;RJ;218040;222168;197491;81;3014;5940;4810;8981
1990;32;ES;10877;44260;47058;20;357;206;156;1252
1990;31;MG;56126;225651;217513;91;790;1442;3115;5807
1990;29;BA;35706;137181;109631;31;2263;802;1772;6274
1990;28;SE;6669;42883;21799;18;498;327;38;1280
1990;27;AL;8235;51094;34852;18;1479;506;122;1092
1990;26;PE;30989;99584;80153;26;1370;899;2505;2006
1990;25;PB;18338;63646;74338;61;0;382;1180;0
1990;24;RN;18662;66791;39875;34;0;648;166;0
1990;23;CE;22702;90679;112803;37;885;587;1189;258
1990;22;PI;9428;55972;29316;21;106;95;149;1665
1990;21;MA;13041;59806;35027;52;1172;669;673;988
1990;17;TO;53;7115;5352;0;0;24;0;113
1990;16;AP;760;20518;843;0;0;200;0;0
1990;15;PA;24499;64210;33918;24;2015;861;879;1532
1990;14;RR;2113;0;267;0;0;59;0;14
1990;13;AM;14747;62790;11816;19;1467;827;891;880
1990;12;AC;3574;22473;4990;0;1117;142;38;455
1991;15;PA;27037;67206;38730;28;2238;940;897;1827
1991;53;DF;236770;86254;0;11842;1298;0;11977;0
1991;52;GO;14149;73395;55747;34;1501;498;683;2422
1991;51;MT;7131;44029;11396;21;1207;146;125;2114
1991;50;MS;9129;39579;26072;14;2764;548;171;2455
1991;43;RS;28639;182753;162378;29;0;1213;2703;0
1991;42;SC;15560;54274;71062;21;1736;589;1285;2654
1991;41;PR;18723;28518;168094;31;171;1066;1423;4551
1991;35;SP;65287;680754;500658;45;5743;5340;7473;39804
1991;33;RJ;197328;218101;201230;84;2904;6205;4951;7630
1991;32;ES;10409;44749;50335;22;392;300;548;1214
1991;31;MG;52816;210285;230247;46;2414;2300;2908;6043
1991;29;BA;33035;136364;121081;32;2467;991;2046;6634
1991;28;SE;5772;15643;21030;18;515;384;96;1485
1991;27;AL;7936;53403;35636;20;4703;140;131;1345
1991;26;PE;37064;110353;91454;26;1149;1150;1767;2167
1991;25;PB;18084;72624;77013;26;0;589;1298;0
1991;24;RN;16990;68923;42298;33;0;340;250;0
1991;23;CE;23219;84911;114495;41;2194;719;1107;1613
1991;22;PI;8430;58558;30267;23;1743;292;52;1696
1991;21;MA;12101;60058;38397;25;1130;942;1124;931
1991;17;TO;126;8014;4991;0;193;32;0;0
1991;16;AP;706;17937;987;0;456;350;0;64
1991;14;RR;12509;0;232;0;0;72;0;19
1991;13;AM;13318;66258;12888;19;1479;559;942;899
